epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
84,127951,1.47285,4.77391,1.14647,0.50291,0.37086,0.39238,0.22472,1.38124,4.52676,1.11863,0.000719235,0.000719235,0.000719235
85,129124,1.46727,4.73719,1.14394,0.4953,0.37619,0.39304,0.22602,1.37999,4.51764,1.11835,0.000713263,0.000713263,0.000713263
86,130293,1.46995,4.73232,1.14377,0.50031,0.37803,0.39483,0.22636,1.37814,4.50844,1.11782,0.000707259,0.000707259,0.000707259
87,131474,1.46338,4.70452,1.1441,0.50575,0.37333,0.39483,0.22657,1.37793,4.50384,1.11762,0.000701222,0.000701222,0.000701222
88,132680,1.4668,4.72156,1.14368,0.5057,0.37778,0.39585,0.22666,1.37727,4.49943,1.11645,0.000695155,0.000695155,0.000695155
89,133867,1.45992,4.69946,1.14437,0.50506,0.37806,0.39792,0.2277,1.37684,4.48953,1.11707,0.000689058,0.000689058,0.000689058
90,135044,1.4635,4.69761,1.14023,0.50016,0.3819,0.39807,0.22765,1.37429,4.47966,1.1162,0.000682932,0.000682932,0.000682932
91,136207,1.4536,4.66422,1.14205,0.5006,0.38018,0.39629,0.22725,1.37382,4.48091,1.1156,0.00067678,0.00067678,0.00067678
92,137366,1.45772,4.66693,1.14117,0.50461,0.37621,0.39576,0.22703,1.37515,4.48041,1.11626,0.000670601,0.000670601,0.000670601
93,138539,1.44719,4.64534,1.14116,0.51158,0.37664,0.39656,0.22706,1.37314,4.47986,1.11555,0.000664398,0.000664398,0.000664398
94,139718,1.45433,4.65621,1.13819,0.50357,0.37894,0.39745,0.22742,1.37181,4.47226,1.1147,0.000658172,0.000658172,0.000658172
95,140916,1.44608,4.63055,1.14196,0.50992,0.37715,0.39783,0.22814,1.37115,4.46544,1.11492,0.000651924,0.000651924,0.000651924
96,142094,1.44883,4.63289,1.14504,0.49791,0.38406,0.3982,0.22858,1.37053,4.46123,1.11526,0.000645654,0.000645654,0.000645654
97,143261,1.44424,4.60972,1.13727,0.5028,0.38072,0.39908,0.22933,1.37155,4.46133,1.11593,0.000639366,0.000639366,0.000639366
98,144434,1.4422,4.59151,1.1347,0.50865,0.37959,0.39951,0.2297,1.36996,4.45784,1.1146,0.000633059,0.000633059,0.000633059
99,145605,1.45112,4.61309,1.13639,0.51007,0.37932,0.40096,0.23053,1.37081,4.45385,1.11476,0.000626735,0.000626735,0.000626735
100,146774,1.44977,4.62587,1.13672,0.5051,0.38254,0.40084,0.23039,1.36913,4.45127,1.11442,0.000620396,0.000620396,0.000620396
101,147950,1.44482,4.58927,1.13621,0.5192,0.37615,0.40143,0.23053,1.36895,4.45118,1.11465,0.000614042,0.000614042,0.000614042
102,149129,1.44744,4.59159,1.13319,0.51305,0.37792,0.40182,0.23067,1.36767,4.44767,1.11392,0.000607675,0.000607675,0.000607675
103,150289,1.44297,4.59728,1.13681,0.50979,0.38145,0.40239,0.23125,1.36586,4.43981,1.11284,0.000601296,0.000601296,0.000601296
104,151480,1.44072,4.56298,1.13188,0.50937,0.38179,0.40297,0.23152,1.36458,4.43537,1.11188,0.000594907,0.000594907,0.000594907
105,152660,1.4394,4.55802,1.13763,0.51037,0.38066,0.40284,0.23135,1.36505,4.4313,1.11248,0.000588509,0.000588509,0.000588509
106,153833,1.44619,4.58609,1.13345,0.50638,0.38474,0.40344,0.23189,1.36362,4.42486,1.11167,0.000582103,0.000582103,0.000582103
107,155000,1.42831,4.52288,1.13068,0.51075,0.38301,0.40395,0.23239,1.36324,4.42229,1.11118,0.00057569,0.00057569,0.00057569
108,156140,1.43301,4.52338,1.1332,0.51282,0.38271,0.40427,0.2322,1.36266,4.41978,1.11086,0.000569272,0.000569272,0.000569272
109,157242,1.44007,4.55782,1.13552,0.51622,0.3809,0.40399,0.23197,1.36319,4.42595,1.11138,0.00056285,0.00056285,0.00056285
110,158407,1.42964,4.52248,1.13147,0.51589,0.38225,0.40364,0.23231,1.36232,4.42124,1.11099,0.000556426,0.000556426,0.000556426
111,159576,1.42403,4.51191,1.13412,0.51047,0.3828,0.40403,0.23235,1.36159,4.41953,1.11078,0.00055,0.00055,0.00055
112,160756,1.43144,4.5125,1.13301,0.51153,0.3819,0.40386,0.23246,1.36137,4.41978,1.1109,0.000543574,0.000543574,0.000543574
113,161911,1.43076,4.52082,1.1312,0.51351,0.38084,0.40442,0.23301,1.36033,4.41491,1.11091,0.00053715,0.00053715,0.00053715
114,163074,1.42932,4.49621,1.1308,0.51024,0.38333,0.40409,0.23289,1.35938,4.41252,1.11037,0.000530728,0.000530728,0.000530728
115,164240,1.43003,4.49127,1.12603,0.50725,0.38515,0.40416,0.23279,1.35948,4.41222,1.11034,0.00052431,0.00052431,0.00052431
116,165404,1.43723,4.52303,1.13385,0.51199,0.3842,0.40516,0.23294,1.35874,4.40926,1.10988,0.000517897,0.000517897,0.000517897
117,166566,1.42249,4.49168,1.12821,0.51367,0.3859,0.40612,0.23347,1.3589,4.41025,1.11,0.000511491,0.000511491,0.000511491
118,167693,1.42962,4.50533,1.13255,0.51569,0.38372,0.40601,0.2338,1.35868,4.40649,1.11012,0.000505093,0.000505093,0.000505093
119,168822,1.42677,4.46314,1.12695,0.51602,0.38327,0.40589,0.23386,1.35911,4.40382,1.11013,0.000498704,0.000498704,0.000498704
120,169983,1.42384,4.45237,1.1291,0.51404,0.38592,0.40577,0.23379,1.35886,4.40214,1.11017,0.000492325,0.000492325,0.000492325
